Charge Amount,Bank,Place of Business
$1381.25,Bank of America,"Mcdon\nalds"
$1382.25,Chase,"Wen\ndys"
$1383.25,Wells Fargo,"Apple\n Store"
$1384.25,Bank of America,"Microsoft\n Store"
$1385.25,Chase,"Jack in\n the box"
$1386.25,Wells Fargo,"Mcdon\nalds"
$1387.25,Bank of America,"Wen\ndys"
$1388.25,Chase,"Apple\n Store"
$1389.25,Wells Fargo,"Microsoft\n Store"
$1390.25,Bank of America,"Jack in\n the box"
$1391.25,Chase,"Mcdon\nalds"
$1392.25,Wells Fargo,"Wen\ndys"
$1393.25,Bank of America,"Apple\n Store"
$1394.25,Chase,"Microsoft\n Store"
$1395.25,Wells Fargo,"Jack in\n the box"
$1396.25,Bank of America,"Mcdon\nalds"
$1397.25,Chase,"Wen\ndys"
$1398.25,Wells Fargo,"Apple\n Store"
$1399.25,Bank of America,"Microsoft\n Store"
$1400.25,Chase,"Jack in\n the box"
$1401.25,Wells Fargo,"Mcdon\nalds"
$1402.25,Bank of America,"Wen\ndys"
$1403.25,Chase,"Apple\n Store"
$1404.25,Wells Fargo,"Microsoft\n Store"
$1405.25,Bank of America,"Jack in\n the box"
$1406.25,Chase,"Mcdon\nalds"
$1407.25,Wells Fargo,"Wen\ndys"
$1408.25,Bank of America,"Apple\n Store"
$1409.25,Chase,"Microsoft\n Store"
$1410.25,Wells Fargo,"Jack in\n the box"
$1411.25,Bank of America,"Mcdon\nalds"
$1412.25,Chase,"Wen\ndys"
$1413.25,Wells Fargo,"Apple\n Store"
$1414.25,Bank of America,"Microsoft\n Store"
$1415.25,Chase,"Jack in\n the box"
$1416.25,Wells Fargo,"Mcdon\nalds"
$1417.25,Bank of America,"Wen\ndys"
$1418.25,Chase,"Apple\n Store"
$1419.25,Wells Fargo,"Microsoft\n Store"
$1420.25,Bank of America,"Jack in\n the box"
$1421.25,Chase,"Mcdon\nalds"
$1422.25,Wells Fargo,"Wen\ndys"
$1423.25,Bank of America,"Apple\n Store"
$1424.25,Chase,"Microsoft\n Store"
$1425.25,Wells Fargo,"Jack in\n the box"
$1426.25,Bank of America,"Mcdon\nalds"
$1427.25,Chase,"Wen\ndys"
$1428.25,Wells Fargo,"Apple\n Store"
$1429.25,Bank of America,"Microsoft\n Store"
$1430.25,Chase,"Jack in\n the box"
$1431.25,Wells Fargo,"Mcdon\nalds"
$1432.25,Bank of America,"Wen\ndys"
$1433.25,Chase,"Apple\n Store"
$1434.25,Wells Fargo,"Microsoft\n Store"
$1435.25,Bank of America,"Jack in\n the box"
$1436.25,Chase,"Mcdon\nalds"
$1437.25,Wells Fargo,"Wen\ndys"
$1438.25,Bank of America,"Apple\n Store"
$1439.25,Chase,"Microsoft\n Store"
$1440.25,Wells Fargo,"Jack in\n the box"
$1441.25,Bank of America,"Mcdon\nalds"
$1442.25,Chase,"Wen\ndys"
$1443.25,Wells Fargo,"Apple\n Store"
$1444.25,Bank of America,"Microsoft\n Store"
$1445.25,Chase,"Jack in\n the box"
$1446.25,Wells Fargo,"Mcdon\nalds"
$1447.25,Bank of America,"Wen\ndys"
$1448.25,Chase,"Apple\n Store"
$1449.25,Wells Fargo,"Microsoft\n Store"
$1450.25,Bank of America,"Jack in\n the box"
$1451.25,Chase,"Mcdon\nalds"
$1452.25,Wells Fargo,"Wen\ndys"
$1453.25,Bank of America,"Apple\n Store"
$1454.25,Chase,"Microsoft\n Store"
$1455.25,Wells Fargo,"Jack in\n the box"
$1456.25,Bank of America,"Mcdon\nalds"
$1457.25,Chase,"Wen\ndys"
$1458.25,Wells Fargo,"Apple\n Store"
$1459.25,Bank of America,"Microsoft\n Store"
$1460.25,Chase,"Jack in\n the box"
$1461.25,Wells Fargo,"Mcdon\nalds"
$1462.25,Bank of America,"Wen\ndys"
$1463.25,Chase,"Apple\n Store"
$1464.25,Wells Fargo,"Microsoft\n Store"
$1465.25,Bank of America,"Jack in\n the box"
$1466.25,Chase,"Mcdon\nalds"
$1467.25,Wells Fargo,"Wen\ndys"
$1468.25,Bank of America,"Apple\n Store"
$1469.25,Chase,"Microsoft\n Store"
$1470.25,Wells Fargo,"Jack in\n the box"
$1471.25,Bank of America,"Mcdon\nalds"
$1472.25,Chase,"Wen\ndys"
$1473.25,Wells Fargo,"Apple\n Store"
$1474.25,Bank of America,"Microsoft\n Store"
$1475.25,Chase,"Jack in\n the box"
$1476.25,Wells Fargo,"Mcdon\nalds"
$1477.25,Bank of America,"Wen\ndys"
$1478.25,Chase,"Apple\n Store"
$1479.25,Wells Fargo,"Microsoft\n Store"
$1480.25,Bank of America,"Jack in\n the box"
$1481.25,Chase,"Mcdon\nalds"
$1482.25,Wells Fargo,"Wen\ndys"
$1483.25,Bank of America,"Apple\n Store"
$1484.25,Chase,"Microsoft\n Store"
$1485.25,Wells Fargo,"Jack in\n the box"
$1486.25,Bank of America,"Mcdon\nalds"
$1487.25,Chase,"Wen\ndys"
$1488.25,Wells Fargo,"Apple\n Store"
$1489.25,Bank of America,"Microsoft\n Store"
$1490.25,Chase,"Jack in\n the box"
$1491.25,Wells Fargo,"Mcdon\nalds"
$1492.25,Bank of America,"Wen\ndys"
$1493.25,Chase,"Apple\n Store"
$1494.25,Wells Fargo,"Microsoft\n Store"
$1495.25,Bank of America,"Jack in\n the box"
$1496.25,Chase,"Mcdon\nalds"
$1497.25,Wells Fargo,"Wen\ndys"
$1498.25,Bank of America,"Apple\n Store"
$1499.25,Chase,"Microsoft\n Store"
$1500.25,Wells Fargo,"Jack in\n the box"
$1501.25,Bank of America,"Mcdon\nalds"
$1502.25,Chase,"Wen\ndys"
$1503.25,Wells Fargo,"Apple\n Store"
$1504.25,Bank of America,"Microsoft\n Store"
$1505.25,Chase,"Jack in\n the box"
$1506.25,Wells Fargo,"Mcdon\nalds"
$1507.25,Bank of America,"Wen\ndys"
$1508.25,Chase,"Apple\n Store"
$1509.25,Wells Fargo,"Microsoft\n Store"
$1510.25,Bank of America,"Jack in\n the box"
$1511.25,Chase,"Mcdon\nalds"
$1512.25,Wells Fargo,"Wen\ndys"
$1513.25,Bank of America,"Apple\n Store"
$1514.25,Chase,"Microsoft\n Store"
$1515.25,Wells Fargo,"Jack in\n the box"
$1516.25,Bank of America,"Mcdon\nalds"
$1517.25,Chase,"Wen\ndys"
$1518.25,Wells Fargo,"Apple\n Store"
$1519.25,Bank of America,"Microsoft\n Store"
$1520.25,Chase,"Jack in\n the box"
$1521.25,Wells Fargo,"Mcdon\nalds"
$1522.25,Bank of America,"Wen\ndys"
$1523.25,Chase,"Apple\n Store"
$1524.25,Wells Fargo,"Microsoft\n Store"
$1525.25,Bank of America,"Jack in\n the box"
$1526.25,Chase,"Mcdon\nalds"
$1527.25,Wells Fargo,"Wen\ndys"
$1528.25,Bank of America,"Apple\n Store"
$1529.25,Chase,"Microsoft\n Store"
$1530.25,Wells Fargo,"Jack in\n the box"
$1531.25,Bank of America,"Mcdon\nalds"
$1532.25,Chase,"Wen\ndys"
$1533.25,Wells Fargo,"Apple\n Store"
$1534.25,Bank of America,"Microsoft\n Store"
$1535.25,Chase,"Jack in\n the box"
$1536.25,Wells Fargo,"Mcdon\nalds"
$1537.25,Bank of America,"Wen\ndys"
$1538.25,Chase,"Apple\n Store"
$1539.25,Wells Fargo,"Microsoft\n Store"
$1540.25,Bank of America,"Jack in\n the box"
$1541.25,Chase,"Mcdon\nalds"
$1542.25,Wells Fargo,"Wen\ndys"
$1543.25,Bank of America,"Apple\n Store"
$1544.25,Chase,"Microsoft\n Store"
$1545.25,Wells Fargo,"Jack in\n the box"
$1546.25,Bank of America,"Mcdon\nalds"
$1547.25,Chase,"Wen\ndys"
$1548.25,Wells Fargo,"Apple\n Store"
$1549.25,Bank of America,"Microsoft\n Store"
$1550.25,Chase,"Jack in\n the box"
$1551.25,Wells Fargo,"Mcdon\nalds"
$1552.25,Bank of America,"Wen\ndys"
$1553.25,Chase,"Apple\n Store"
$1554.25,Wells Fargo,"Microsoft\n Store"
$1555.25,Bank of America,"Jack in\n the box"
$1556.25,Chase,"Mcdon\nalds"
$1557.25,Wells Fargo,"Wen\ndys"
$1558.25,Bank of America,"Apple\n Store"
$1559.25,Chase,"Microsoft\n Store"
$1560.25,Wells Fargo,"Jack in\n the box"
$1561.25,Bank of America,"Mcdon\nalds"
$1562.25,Chase,"Wen\ndys"
$1563.25,Wells Fargo,"Apple\n Store"
$1564.25,Bank of America,"Microsoft\n Store"
$1565.25,Chase,"Jack in\n the box"
$1566.25,Wells Fargo,"Mcdon\nalds"
$1567.25,Bank of America,"Wen\ndys"
$1568.25,Chase,"Apple\n Store"
$1569.25,Wells Fargo,"Microsoft\n Store"
$1570.25,Bank of America,"Jack in\n the box"
$1571.25,Chase,"Mcdon\nalds"
$1572.25,Wells Fargo,"Wen\ndys"
$1573.25,Bank of America,"Apple\n Store"
$1574.25,Chase,"Microsoft\n Store"
$1575.25,Wells Fargo,"Jack in\n the box"
$1576.25,Bank of America,"Mcdon\nalds"
$1577.25,Chase,"Wen\ndys"
$1578.25,Wells Fargo,"Apple\n Store"
$1579.25,Bank of America,"Microsoft\n Store"
$1580.25,Chase,"Jack in\n the box"
$1581.25,Wells Fargo,"Mcdon\nalds"
$1582.25,Bank of America,"Wen\ndys"
$1583.25,Chase,"Apple\n Store"
$1584.25,Wells Fargo,"Microsoft\n Store"
$1585.25,Bank of America,"Jack in\n the box"
$1586.25,Chase,"Mcdon\nalds"
$1587.25,Wells Fargo,"Wen\ndys"
$1588.25,Bank of America,"Apple\n Store"
$1589.25,Chase,"Microsoft\n Store"
$1590.25,Wells Fargo,"Jack in\n the box"
$1591.25,Bank of America,"Mcdon\nalds"
$1592.25,Chase,"Wen\ndys"
$1593.25,Wells Fargo,"Apple\n Store"
$1594.25,Bank of America,"Microsoft\n Store"
$1595.25,Chase,"Jack in\n the box"
$1596.25,Wells Fargo,"Mcdon\nalds"
$1597.25,Bank of America,"Wen\ndys"
$1598.25,Chase,"Apple\n Store"
$1599.25,Wells Fargo,"Microsoft\n Store"
$1600.25,Bank of America,"Jack in\n the box"
$1601.25,Chase,"Mcdon\nalds"
$1602.25,Wells Fargo,"Wen\ndys"
$1603.25,Bank of America,"Apple\n Store"
$1604.25,Chase,"Microsoft\n Store"
$1605.25,Wells Fargo,"Jack in\n the box"
$1606.25,Bank of America,"Mcdon\nalds"
$1607.25,Chase,"Wen\ndys"
$1608.25,Wells Fargo,"Apple\n Store"
$1609.25,Bank of America,"Microsoft\n Store"
$1610.25,Chase,"Jack in\n the box"
$1611.25,Wells Fargo,"Mcdon\nalds"
$1612.25,Bank of America,"Wen\ndys"
$1613.25,Chase,"Apple\n Store"
$1614.25,Wells Fargo,"Microsoft\n Store"
$1615.25,Bank of America,"Jack in\n the box"
$1616.25,Chase,"Mcdon\nalds"
$1617.25,Wells Fargo,"Wen\ndys"
$1618.25,Bank of America,"Apple\n Store"
$1619.25,Chase,"Microsoft\n Store"
$1620.25,Wells Fargo,"Jack in\n the box"
$1621.25,Bank of America,"Mcdon\nalds"
$1622.25,Chase,"Wen\ndys"
$1623.25,Wells Fargo,"Apple\n Store"
$1624.25,Bank of America,"Microsoft\n Store"
$1625.25,Chase,"Jack in\n the box"
$1626.25,Wells Fargo,"Mcdon\nalds"
$1627.25,Bank of America,"Wen\ndys"
$1628.25,Chase,"Apple\n Store"
$1629.25,Wells Fargo,"Microsoft\n Store"
$1630.25,Bank of America,"Jack in\n the box"
$1631.25,Chase,"Mcdon\nalds"
$1632.25,Wells Fargo,"Wen\ndys"
$1633.25,Bank of America,"Apple\n Store"
$1634.25,Chase,"Microsoft\n Store"
$1635.25,Wells Fargo,"Jack in\n the box"
$1636.25,Bank of America,"Mcdon\nalds"
$1637.25,Chase,"Wen\ndys"
$1638.25,Wells Fargo,"Apple\n Store"
$1639.25,Bank of America,"Microsoft\n Store"
$1640.25,Chase,"Jack in\n the box"
$1641.25,Wells Fargo,"Mcdon\nalds"
$1642.25,Bank of America,"Wen\ndys"
$1643.25,Chase,"Apple\n Store"
$1644.25,Wells Fargo,"Microsoft\n Store"
$1645.25,Bank of America,"Jack in\n the box"
$1646.25,Chase,"Mcdon\nalds"
$1647.25,Wells Fargo,"Wen\ndys"
$1648.25,Bank of America,"Apple\n Store"
$1649.25,Chase,"Microsoft\n Store"
$1650.25,Wells Fargo,"Jack in\n the box"
$1651.25,Bank of America,"Mcdon\nalds"
$1652.25,Chase,"Wen\ndys"
$1653.25,Wells Fargo,"Apple\n Store"
$1654.25,Bank of America,"Microsoft\n Store"
$1655.25,Chase,"Jack in\n the box"
$1656.25,Wells Fargo,"Mcdon\nalds"
$1657.25,Bank of America,"Wen\ndys"
$1658.25,Chase,"Apple\n Store"
$1659.25,Wells Fargo,"Microsoft\n Store"
$1660.25,Bank of America,"Jack in\n the box"
$1661.25,Chase,"Mcdon\nalds"
$1662.25,Wells Fargo,"Wen\ndys"
$1663.25,Bank of America,"Apple\n Store"
$1664.25,Chase,"Microsoft\n Store"
$1665.25,Wells Fargo,"Jack in\n the box"
$1666.25,Bank of America,"Mcdon\nalds"
$1667.25,Chase,"Wen\ndys"
$1668.25,Wells Fargo,"Apple\n Store"
$1669.25,Bank of America,"Microsoft\n Store"
$1670.25,Chase,"Jack in\n the box"
$1671.25,Wells Fargo,"Mcdon\nalds"
$1672.25,Bank of America,"Wen\ndys"
$1673.25,Chase,"Apple\n Store"
$1674.25,Wells Fargo,"Microsoft\n Store"
$1675.25,Bank of America,"Jack in\n the box"
$1676.25,Chase,"Mcdon\nalds"
$1677.25,Wells Fargo,"Wen\ndys"
$1678.25,Bank of America,"Apple\n Store"
$1679.25,Chase,"Microsoft\n Store"
$1680.25,Wells Fargo,"Jack in\n the box"
$1681.25,Bank of America,"Mcdon\nalds"
$1682.25,Chase,"Wen\ndys"
$1683.25,Wells Fargo,"Apple\n Store"
$1684.25,Bank of America,"Microsoft\n Store"
$1685.25,Chase,"Jack in\n the box"
$1686.25,Wells Fargo,"Mcdon\nalds"
$1687.25,Bank of America,"Wen\ndys"
$1688.25,Chase,"Apple\n Store"
$1689.25,Wells Fargo,"Microsoft\n Store"
$1690.25,Bank of America,"Jack in\n the box"
$1691.25,Chase,"Mcdon\nalds"
$1692.25,Wells Fargo,"Wen\ndys"
$1693.25,Bank of America,"Apple\n Store"
$1694.25,Chase,"Microsoft\n Store"
$1695.25,Wells Fargo,"Jack in\n the box"
$1696.25,Bank of America,"Mcdon\nalds"
$1697.25,Chase,"Wen\ndys"
$1698.25,Wells Fargo,"Apple\n Store"
$1699.25,Bank of America,"Microsoft\n Store"
$1700.25,Chase,"Jack in\n the box"
$1701.25,Wells Fargo,"Mcdon\nalds"
$1702.25,Bank of America,"Wen\ndys"
$1703.25,Chase,"Apple\n Store"
$1704.25,Wells Fargo,"Microsoft\n Store"
$1705.25,Bank of America,"Jack in\n the box"
$1706.25,Chase,"Mcdon\nalds"
$1707.25,Wells Fargo,"Wen\ndys"
$1708.25,Bank of America,"Apple\n Store"
$1709.25,Chase,"Microsoft\n Store"
$1710.25,Wells Fargo,"Jack in\n the box"
$1711.25,Bank of America,"Mcdon\nalds"
$1712.25,Chase,"Wen\ndys"
$1713.25,Wells Fargo,"Apple\n Store"
$1714.25,Bank of America,"Microsoft\n Store"
$1715.25,Chase,"Jack in\n the box"
$1716.25,Wells Fargo,"Mcdon\nalds"
$1717.25,Bank of America,"Wen\ndys"
$1718.25,Chase,"Apple\n Store"
$1719.25,Wells Fargo,"Microsoft\n Store"
$1720.25,Bank of America,"Jack in\n the box"
$1721.25,Chase,"Mcdon\nalds"
$1722.25,Wells Fargo,"Wen\ndys"
$1723.25,Bank of America,"Apple\n Store"
$1724.25,Chase,"Microsoft\n Store"
$1725.25,Wells Fargo,"Jack in\n the box"
$1726.25,Bank of America,"Mcdon\nalds"
$1727.25,Chase,"Wen\ndys"
$1728.25,Wells Fargo,"Apple\n Store"
$1729.25,Bank of America,"Microsoft\n Store"
$1730.25,Chase,"Jack in\n the box"
$1731.25,Wells Fargo,"Mcdon\nalds"
$1732.25,Bank of America,"Wen\ndys"
$1733.25,Chase,"Apple\n Store"
$1734.25,Wells Fargo,"Microsoft\n Store"
$1735.25,Bank of America,"Jack in\n the box"
$1736.25,Chase,"Mcdon\nalds"
$1737.25,Wells Fargo,"Wen\ndys"
$1738.25,Bank of America,"Apple\n Store"
$1739.25,Chase,"Microsoft\n Store"
$1740.25,Wells Fargo,"Jack in\n the box"
$1741.25,Bank of America,"Mcdon\nalds"
$1742.25,Chase,"Wen\ndys"
$1743.25,Wells Fargo,"Apple\n Store"
$1744.25,Bank of America,"Microsoft\n Store"
$1745.25,Chase,"Jack in\n the box"
$1746.25,Wells Fargo,"Mcdon\nalds"
$1747.25,Bank of America,"Wen\ndys"
$1748.25,Chase,"Apple\n Store"
$1749.25,Wells Fargo,"Microsoft\n Store"
$1750.25,Bank of America,"Jack in\n the box"
$1751.25,Chase,"Mcdon\nalds"
$1752.25,Wells Fargo,"Wen\ndys"
$1753.25,Bank of America,"Apple\n Store"
$1754.25,Chase,"Microsoft\n Store"
$1755.25,Wells Fargo,"Jack in\n the box"
$1756.25,Bank of America,"Mcdon\nalds"
$1757.25,Chase,"Wen\ndys"
$1758.25,Wells Fargo,"Apple\n Store"
$1759.25,Bank of America,"Microsoft\n Store"
$1760.25,Chase,"Jack in\n the box"
$1761.25,Wells Fargo,"Mcdon\nalds"
$1762.25,Bank of America,"Wen\ndys"
$1763.25,Chase,"Apple\n Store"
$1764.25,Wells Fargo,"Microsoft\n Store"
$1765.25,Bank of America,"Jack in\n the box"
$1766.25,Chase,"Mcdon\nalds"
$1767.25,Wells Fargo,"Wen\ndys"
$1768.25,Bank of America,"Apple\n Store"
$1769.25,Chase,"Microsoft\n Store"
$1770.25,Wells Fargo,"Jack in\n the box"
$1771.25,Bank of America,"Mcdon\nalds"
$1772.25,Chase,"Wen\ndys"
$1773.25,Wells Fargo,"Apple\n Store"
$1774.25,Bank of America,"Microsoft\n Store"
$1775.25,Chase,"Jack in\n the box"
$1776.25,Wells Fargo,"Mcdon\nalds"
$1777.25,Bank of America,"Wen\ndys"
$1778.25,Chase,"Apple\n Store"
$1779.25,Wells Fargo,"Microsoft\n Store"
$1780.25,Bank of America,"Jack in\n the box"
$1781.25,Chase,"Mcdon\nalds"
$1782.25,Wells Fargo,"Wen\ndys"
$1783.25,Bank of America,"Apple\n Store"
$1784.25,Chase,"Microsoft\n Store"
$1785.25,Wells Fargo,"Jack in\n the box"
$1786.25,Bank of America,"Mcdon\nalds"
$1787.25,Chase,"Wen\ndys"
$1788.25,Wells Fargo,"Apple\n Store"
$1789.25,Bank of America,"Microsoft\n Store"
$1790.25,Chase,"Jack in\n the box"
$1791.25,Wells Fargo,"Mcdon\nalds"
$1792.25,Bank of America,"Wen\ndys"
$1793.25,Chase,"Apple\n Store"
$1794.25,Wells Fargo,"Microsoft\n Store"
$1795.25,Bank of America,"Jack in\n the box"
$1796.25,Chase,"Mcdon\nalds"
$1797.25,Wells Fargo,"Wen\ndys"
$1798.25,Bank of America,"Apple\n Store"
$1799.25,Chase,"Microsoft\n Store"
$1800.25,Wells Fargo,"Jack in\n the box"
$1801.25,Bank of America,"Mcdon\nalds"
$1802.25,Chase,"Wen\ndys"
$1803.25,Wells Fargo,"Apple\n Store"
$1804.25,Bank of America,"Microsoft\n Store"
$1805.25,Chase,"Jack in\n the box"
$1806.25,Wells Fargo,"Mcdon\nalds"
$1807.25,Bank of America,"Wen\ndys"
$1808.25,Chase,"Apple\n Store"
$1809.25,Wells Fargo,"Microsoft\n Store"
$1810.25,Bank of America,"Jack in\n the box"
$1811.25,Chase,"Mcdon\nalds"
$1812.25,Wells Fargo,"Wen\ndys"
$1813.25,Bank of America,"Apple\n Store"
$1814.25,Chase,"Microsoft\n Store"
$1815.25,Wells Fargo,"Jack in\n the box"
$1816.25,Bank of America,"Mcdon\nalds"
$1817.25,Chase,"Wen\ndys"
$1818.25,Wells Fargo,"Apple\n Store"
$1819.25,Bank of America,"Microsoft\n Store"
$1820.25,Chase,"Jack in\n the box"
$1821.25,Wells Fargo,"Mcdon\nalds"
$1822.25,Bank of America,"Wen\ndys"
$1823.25,Chase,"Apple\n Store"
$1824.25,Wells Fargo,"Microsoft\n Store"
$1825.25,Bank of America,"Jack in\n the box"
$1826.25,Chase,"Mcdon\nalds"
$1827.25,Wells Fargo,"Wen\ndys"
$1828.25,Bank of America,"Apple\n Store"
$1829.25,Chase,"Microsoft\n Store"
$1830.25,Wells Fargo,"Jack in\n the box"
$1831.25,Bank of America,"Mcdon\nalds"
$1832.25,Chase,"Wen\ndys"
$1833.25,Wells Fargo,"Apple\n Store"
$1834.25,Bank of America,"Microsoft\n Store"
$1835.25,Chase,"Jack in\n the box"
$1836.25,Wells Fargo,"Mcdon\nalds"
$1837.25,Bank of America,"Wen\ndys"
$1838.25,Chase,"Apple\n Store"
$1839.25,Wells Fargo,"Microsoft\n Store"
$1840.25,Bank of America,"Jack in\n the box"
$1841.25,Chase,"Mcdon\nalds"
$1842.25,Wells Fargo,"Wen\ndys"
$1843.25,Bank of America,"Apple\n Store"
$1844.25,Chase,"Microsoft\n Store"
$1845.25,Wells Fargo,"Jack in\n the box"
$1846.25,Bank of America,"Mcdon\nalds"
$1847.25,Chase,"Wen\ndys"
$1848.25,Wells Fargo,"Apple\n Store"
$1849.25,Bank of America,"Microsoft\n Store"
$1850.25,Chase,"Jack in\n the box"
$1851.25,Wells Fargo,"Mcdon\nalds"
$1852.25,Bank of America,"Wen\ndys"
$1853.25,Chase,"Apple\n Store"
$1854.25,Wells Fargo,"Microsoft\n Store"
$1855.25,Bank of America,"Jack in\n the box"
$1856.25,Chase,"Mcdon\nalds"
$1857.25,Wells Fargo,"Wen\ndys"
$1858.25,Bank of America,"Apple\n Store"
$1859.25,Chase,"Microsoft\n Store"
$1860.25,Wells Fargo,"Jack in\n the box"
$1861.25,Bank of America,"Mcdon\nalds"
$1862.25,Chase,"Wen\ndys"
$1863.25,Wells Fargo,"Apple\n Store"
$1864.25,Bank of America,"Microsoft\n Store"
$1865.25,Chase,"Jack in\n the box"
$1866.25,Wells Fargo,"Mcdon\nalds"
$1867.25,Bank of America,"Wen\ndys"
$1868.25,Chase,"Apple\n Store"
$1869.25,Wells Fargo,"Microsoft\n Store"
$1870.25,Bank of America,"Jack in\n the box"
$1871.25,Chase,"Mcdon\nalds"
$1872.25,Wells Fargo,"Wen\ndys"
$1873.25,Bank of America,"Apple\n Store"
$1874.25,Chase,"Microsoft\n Store"
$1875.25,Wells Fargo,"Jack in\n the box"
$1876.25,Bank of America,"Mcdon\nalds"
$1877.25,Chase,"Wen\ndys"
$1878.25,Wells Fargo,"Apple\n Store"
$1879.25,Bank of America,"Microsoft\n Store"
$1880.25,Chase,"Jack in\n the box"
$1881.25,Wells Fargo,"Mcdon\nalds"
$1882.25,Bank of America,"Wen\ndys"
$1883.25,Chase,"Apple\n Store"
$1884.25,Wells Fargo,"Microsoft\n Store"
$1885.25,Bank of America,"Jack in\n the box"
$1886.25,Chase,"Mcdon\nalds"
$1887.25,Wells Fargo,"Wen\ndys"
$1888.25,Bank of America,"Apple\n Store"
$1889.25,Chase,"Microsoft\n Store"
$1890.25,Wells Fargo,"Jack in\n the box"
$1891.25,Bank of America,"Mcdon\nalds"
$1892.25,Chase,"Wen\ndys"
$1893.25,Wells Fargo,"Apple\n Store"
$1894.25,Bank of America,"Microsoft\n Store"
$1895.25,Chase,"Jack in\n the box"
$1896.25,Wells Fargo,"Mcdon\nalds"
$1897.25,Bank of America,"Wen\ndys"
$1898.25,Chase,"Apple\n Store"
$1899.25,Wells Fargo,"Microsoft\n Store"
$1900.25,Bank of America,"Jack in\n the box"
$1901.25,Chase,"Mcdon\nalds"
$1902.25,Wells Fargo,"Wen\ndys"
$1903.25,Bank of America,"Apple\n Store"
$1904.25,Chase,"Microsoft\n Store"
$1905.25,Wells Fargo,"Jack in\n the box"
$1906.25,Bank of America,"Mcdon\nalds"
$1907.25,Chase,"Wen\ndys"
$1908.25,Wells Fargo,"Apple\n Store"
$1909.25,Bank of America,"Microsoft\n Store"
$1910.25,Chase,"Jack in\n the box"
$1911.25,Wells Fargo,"Mcdon\nalds"
$1912.25,Bank of America,"Wen\ndys"
$1913.25,Chase,"Apple\n Store"
$1914.25,Wells Fargo,"Microsoft\n Store"
$1915.25,Bank of America,"Jack in\n the box"
$1916.25,Chase,"Mcdon\nalds"
$1917.25,Wells Fargo,"Wen\ndys"
$1918.25,Bank of America,"Apple\n Store"
$1919.25,Chase,"Microsoft\n Store"
$1920.25,Wells Fargo,"Jack in\n the box"
$1921.25,Bank of America,"Mcdon\nalds"
$1922.25,Chase,"Wen\ndys"
$1923.25,Wells Fargo,"Apple\n Store"
$1924.25,Bank of America,"Microsoft\n Store"
$1925.25,Chase,"Jack in\n the box"
$1926.25,Wells Fargo,"Mcdon\nalds"
$1927.25,Bank of America,"Wen\ndys"
$1928.25,Chase,"Apple\n Store"
$1929.25,Wells Fargo,"Microsoft\n Store"
$1930.25,Bank of America,"Jack in\n the box"
$1931.25,Chase,"Mcdon\nalds"
$1932.25,Wells Fargo,"Wen\ndys"
$1933.25,Bank of America,"Apple\n Store"
$1934.25,Chase,"Microsoft\n Store"
$1935.25,Wells Fargo,"Jack in\n the box"
$1936.25,Bank of America,"Mcdon\nalds"
$1937.25,Chase,"Wen\ndys"
$1938.25,Wells Fargo,"Apple\n Store"
$1939.25,Bank of America,"Microsoft\n Store"
$1940.25,Chase,"Jack in\n the box"
$1941.25,Wells Fargo,"Mcdon\nalds"
$1942.25,Bank of America,"Wen\ndys"
$1943.25,Chase,"Apple\n Store"
$1944.25,Wells Fargo,"Microsoft\n Store"
$1945.25,Bank of America,"Jack in\n the box"
$1946.25,Chase,"Mcdon\nalds"
$1947.25,Wells Fargo,"Wen\ndys"
$1948.25,Bank of America,"Apple\n Store"
$1949.25,Chase,"Microsoft\n Store"
$1950.25,Wells Fargo,"Jack in\n the box"
$1951.25,Bank of America,"Mcdon\nalds"
$1952.25,Chase,"Wen\ndys"
$1953.25,Wells Fargo,"Apple\n Store"
$1954.25,Bank of America,"Microsoft\n Store"
$1955.25,Chase,"Jack in\n the box"
$1956.25,Wells Fargo,"Mcdon\nalds"
$1957.25,Bank of America,"Wen\ndys"
$1958.25,Chase,"Apple\n Store"
$1959.25,Wells Fargo,"Microsoft\n Store"
$1960.25,Bank of America,"Jack in\n the box"
$1961.25,Chase,"Mcdon\nalds"
$1962.25,Wells Fargo,"Wen\ndys"
$1963.25,Bank of America,"Apple\n Store"
$1964.25,Chase,"Microsoft\n Store"
$1965.25,Wells Fargo,"Jack in\n the box"
$1966.25,Bank of America,"Mcdon\nalds"
$1967.25,Chase,"Wen\ndys"
$1968.25,Wells Fargo,"Apple\n Store"
$1969.25,Bank of America,"Microsoft\n Store"
$1970.25,Chase,"Jack in\n the box"
$1971.25,Wells Fargo,"Mcdon\nalds"
$1972.25,Bank of America,"Wen\ndys"
$1973.25,Chase,"Apple\n Store"
$1974.25,Wells Fargo,"Microsoft\n Store"
$1975.25,Bank of America,"Jack in\n the box"
$1976.25,Chase,"Mcdon\nalds"
$1977.25,Wells Fargo,"Wen\ndys"
$1978.25,Bank of America,"Apple\n Store"
$1979.25,Chase,"Microsoft\n Store"
$1980.25,Wells Fargo,"Jack in\n the box"
$1981.25,Bank of America,"Mcdon\nalds"
$1982.25,Chase,"Wen\ndys"
$1983.25,Wells Fargo,"Apple\n Store"
$1984.25,Bank of America,"Microsoft\n Store"
$1985.25,Chase,"Jack in\n the box"
$1986.25,Wells Fargo,"Mcdon\nalds"
$1987.25,Bank of America,"Wen\ndys"
$1988.25,Chase,"Apple\n Store"
